Ano; G; PG; PG-13; R; NR; UR; TV-G; TV-PG; TV-14; TV-MA; TV-Y; TV-Y7; TV-Y7-FV;
2017;    0;    0;    0;    0;    0;    0;    0;    2;   16;   65;    0;    5;   12; 
2016;    9;   45;    0;    6;   10;    1;    9;   15;  111;   57;   10;    7;   12; 
2015;    1;   19;    0;    2;    0;    0;    7;   11;   29;   12;   19;    5;    4; 
2014;    7;    9;    0;    3;    2;    0;    3;   13;   10;    4;    2;    4;    1; 
2013;    1;    7;    1;    0;    2;    0;    6;    2;   18;    6;    8;    2;    4; 
2012;    3;    4;    2;    1;    0;    0;    5;    6;   20;    1;    3;    0;    0; 
2011;    1;    3;    2;    1;    0;    0;    3;    3;    6;    0;    1;    0;    1; 
2010;    0;    1;    0;    0;    0;    0;    6;    2;    5;    1;    3;    0;    2; 
2009;    2;    4;    0;    0;    0;    0;    7;    1;    0;    1;    4;    1;    0; 
2008;    0;    6;    2;    0;    0;    0;    0;    3;    7;    0;    1;    2;    1; 
2007;    0;    7;    0;    0;    0;    0;    2;    0;    0;    1;    6;    2;    0; 
2006;    7;    1;    2;    3;    0;    0;    1;    0;    5;    0;    0;    0;    0; 
2005;    6;    3;    0;    0;    0;    0;    0;    1;    2;    0;    0;    0;    2; 
2004;    5;    1;    1;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
2003;    5;    2;    1;    0;    0;    0;    1;    0;    5;    0;    1;    0;    2; 
2002;    5;    8;    0;    0;    0;    0;    0;    0;    0;    0;    2;    0;    0; 
2001;    5;    3;    1;    2;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
2000;   11;    4;    0;    0;    0;    0;    0;    0;    0;    0;    2;    0;    0; 
1999;   12;    6;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1998;   10;   10;    2;    0;    0;    0;    2;    0;    0;    0;    0;    2;    0; 
1997;   13;    5;    0;    0;    0;    0;    0;    0;    0;    0;    5;    3;    2; 
1996;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1; 
1995;    5;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1994;    0;    6;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1993;    6;    7;    0;    0;    0;    0;    0;    0;    0;    0;    1;    0;    0; 
1992;    2;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1991;    5;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1990;    3;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    4;    0; 
1989;    0;    1;    0;    0;    0;    0;    0;    0;    0;    0;    0;    1;    0; 
1988;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1987;    0;    2;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1986;    4;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1985;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1984;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1983;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1982;    3;    3;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1981;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1980;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1979;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1978;    0;    2;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1977;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1976;    4;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1975;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1974;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1973;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1972;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1971;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1970;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1969;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1968;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1967;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1966;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1965;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1964;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1963;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1962;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1961;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1960;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
1959;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0;    0; 
